"BehaviorSpace results (NetLogo 5.3.1)"
"B03A02.nlogo"
"experiment"
"11/09/2016 23:42:28:982 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","2","3"
"world-size","20","20","20"
"bean-count","200","1681","5000"
"[reporter]","entropy","entropy","entropy"
"[final]","7.523856189774741","9.884061893812719","10.445865225342832"
"[min]","0","0","0"
"[max]","7.613856189774741","9.929288444406954","10.458377382705951"
"[mean]","7.3480209870543565","9.368427717073766","9.829491401297885"
"[steps]","500","500","500"

"[all run data]","entropy","entropy","entropy"
,"7.282532877242291","8.858125594146275","9.144041417636485"
,"7.258758439731472","8.865381065641003","9.151382270489814"
,"7.28253287724229","8.88163532504298","9.168609563859546"
,"7.266307314753107","8.906168838768815","9.193125747211075"
,"7.278758439731471","8.889648552299018","9.208488567535111"
,"7.2725328772422895","8.891445856567112","9.223676344775882"
,"7.3125328772422895","8.879131270256456","9.248364511790083"
,"7.326307314753106","8.93819170854297","9.264719847674884"
,"7.3563073147531055","8.946011009747497","9.262711370775323"
,"7.298758439731472","8.945763390127013","9.29389322647823"
,"7.362532877242289","8.946662225217084","9.298325305602406"
,"7.294984002220653","8.9390952134957","9.322633681906337"
,"7.3587584397314725","8.947503136235461","9.331744507858932"
,"7.392532877242289","8.99501376425761","9.341394265284915"
,"7.306935799848469","9.013543205655804","9.364017269886345"
,"7.340081752263924","9.003525170128233","9.368600573019457"
,"7.268758439731472","9.016050591578333","9.384566983070545"
,"7.301209564709836","9.01488571589717","9.395249349538261"
,"7.330081752263923","9.029960167175522","9.417470602357524"
,"7.322532877242288","9.052499303530293","9.435107399061332"
,"7.380081752263923","9.069740388987535","9.450647785313425"
,"7.396307314753106","9.078558851080807","9.464453890300044"
,"7.3025328772422915","9.085291800044843","9.475670911302917"
,"7.390081752263924","9.103786651331543","9.482284623753358"
,"7.383856189774741","9.145002696497091","9.498143309716756"
,"7.336307314753108","9.129627906442616","9.50519926178814"
,"7.400081752263924","9.131316824169934","9.521378488447793"
,"7.446307314753107","9.160123763964064","9.52010299560694"
